member_id,member_name,party,state,congress,avg_simple_conformity,avg_entropy_conformity,votes_cast,birth_year,first_year_served,gender,chamber,district
A000014,Abercrombie,D,HI,102,0.9183908045977012,0.5716406192460882,870,1938.0,1985.0,M,rep,HI-1
A000014,Abercrombie,D,HI,103,0.8873917228103946,0.5572495664685105,1039,1938.0,1985.0,M,rep,HI-1
A000014,Abercrombie,D,HI,104,0.8501960784313726,0.4539726571781323,1275,1938.0,1985.0,M,rep,HI-1
A000014,Abercrombie,D,HI,105,0.8754355400696864,0.5401379922613854,1148,1938.0,1985.0,M,rep,HI-1
A000014,Abercrombie,D,HI,106,0.9129677980852916,0.6016108360836411,1149,1938.0,1985.0,M,rep,HI-1
A000014,Abercrombie,D,HI,107,0.8859275053304904,0.6281816214276447,938,1938.0,1985.0,M,rep,HI-1
A000014,Abercrombie,D,HI,108,0.9366980325064156,0.7198521087111547,1169,1938.0,1985.0,M,rep,HI-1
A000014,Abercrombie,D,HI,109,0.9030769230769232,0.6828325560752189,650,1938.0,1985.0,M,rep,HI-1
A000014,Abercrombie,D,HI,110,0.9593589009730968,0.8406315931562547,1747,1938.0,1985.0,M,rep,HI-1
A000014,Abercrombie,D,HI,111,0.985930735930736,0.8255819592510885,924,1938.0,1985.0,M,rep,HI-1
A000022,Ackerman,D,NY,101,0.9469214437367304,0.6216381876255234,471,1942.0,1983.0,M,rep,NY-5
A000022,Ackerman,D,NY,102,0.9480874316939892,0.5852386089178754,732,1942.0,1983.0,M,rep,NY-5
A000022,Ackerman,D,NY,103,0.929064039408867,0.584178049898034,1015,1942.0,1983.0,M,rep,NY-5
A000022,Ackerman,D,NY,104,0.9329517579721996,0.4639429061396453,1223,1942.0,1983.0,M,rep,NY-5
A000022,Ackerman,D,NY,105,0.943609022556391,0.5534844268263898,1064,1942.0,1983.0,M,rep,NY-5
A000022,Ackerman,D,NY,106,0.9521072796934866,0.610474626217799,1044,1942.0,1983.0,M,rep,NY-5
A000022,Ackerman,D,NY,107,0.9429530201342282,0.6411850904201238,894,1942.0,1983.0,M,rep,NY-5
A000022,Ackerman,D,NY,108,0.9584103512014788,0.7324178967528592,1082,1942.0,1983.0,M,rep,NY-5
A000022,Ackerman,D,NY,109,0.9374021909233176,0.6995036959860084,639,1942.0,1983.0,M,rep,NY-5
A000022,Ackerman,D,NY,110,0.9881422924901184,0.8566899493074881,1771,1942.0,1983.0,M,rep,NY-5
A000022,Ackerman,D,NY,111,0.987467018469657,0.8309735710413627,1516,1942.0,1983.0,M,rep,NY-5
A000022,Ackerman,D,NY,112,0.945054945054945,0.6296103824657089,1456,1942.0,1983.0,M,rep,NY-5
A000055,Aderholt,R,AL,105,0.9311531841652324,0.6646250187535968,1162,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,106,0.8986599664991625,0.6505117354579534,1194,1965.0,1997.0,M,rep,AL-4
A000055,Aderholt,R,AL,107,0.9075804776739356,0.7471871072498625,963,1965.0,1997.0,M,rep,AL-4
